DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
1651,5149,4127,249,307,967,2122,randomGenerateMaze102
6701,6701,6701,6701,6701,6701,6701,randomGenerateMaze103
4758,4988,893,1209,1771,4628,5778,randomGenerateMaze104
4088,6500,73,661,127,1809,626,randomGenerateMaze105
1184,5406,4846,1483,1083,340,1604,randomGenerateMaze106
2477,4661,4483,2363,4547,2437,2853,randomGenerateMaze107
3225,3790,58,823,776,589,1562,randomGenerateMaze108
384,2291,6192,135,158,119,530,randomGenerateMaze109
5345,3992,6435,805,5936,2735,6168,randomGenerateMaze110
3731,6357,287,1268,5909,5022,3461,randomGenerateMaze111
4061,5743,2556,5691,3200,5715,5176,randomGenerateMaze112
1448,5000,4945,756,6248,1920,4499,randomGenerateMaze113
3403,1930,2496,5365,4124,4172,6127,randomGenerateMaze114
3869,5774,4137,897,893,6230,3832,randomGenerateMaze115
6314,4714,3354,338,5572,498,526,randomGenerateMaze116
1289,3833,2009,2105,1982,81,1458,randomGenerateMaze117
614,4759,638,685,6287,120,2849,randomGenerateMaze118
3741,3363,6096,1766,2152,4056,5959,randomGenerateMaze119
4920,935,1040,3662,2795,5418,5802,randomGenerateMaze120
3586,4539,2634,1374,6114,1482,4832,randomGenerateMaze121
2190,3406,2412,952,955,4966,4152,randomGenerateMaze122
6603,3398,5035,6015,6608,5841,1684,randomGenerateMaze123
1015,2990,1134,1684,2364,6012,1152,randomGenerateMaze124
5613,2222,31,2881,2638,6557,223,randomGenerateMaze125
3430,3990,1277,954,6173,2728,1354,randomGenerateMaze126
2379,6395,3404,4718,5322,4243,3867,randomGenerateMaze127
4874,1962,760,1091,6164,5868,3717,randomGenerateMaze128
760,3835,4123,5992,6184,1245,1579,randomGenerateMaze129
2032,5049,149,759,1155,1347,4893,randomGenerateMaze130
2522,1603,5403,6049,5074,2404,6392,randomGenerateMaze131
5457,4164,134,6246,6083,5585,4493,randomGenerateMaze132
4242,5849,801,794,440,198,1921,randomGenerateMaze133
2841,730,2911,5865,5789,5283,990,randomGenerateMaze134
3769,2678,3386,687,743,1270,3054,randomGenerateMaze135
5582,2628,4320,3320,3429,2302,5804,randomGenerateMaze136
3524,5702,2178,5732,6449,5384,4365,randomGenerateMaze137
2778,1626,434,5124,75,42,559,randomGenerateMaze138
6615,1952,4228,3578,4338,4080,5584,randomGenerateMaze139
1522,5475,4962,6459,433,818,6229,randomGenerateMaze140
4195,2259,1903,6388,5427,4043,2762,randomGenerateMaze141
3846,461,2576,2549,4698,4030,1234,randomGenerateMaze142
4778,1801,918,3076,191,5760,877,randomGenerateMaze143
528,810,5252,6428,5416,2684,2043,randomGenerateMaze144
5357,976,3884,4378,4305,2719,5704,randomGenerateMaze145
1077,3542,3493,1701,1187,254,2476,randomGenerateMaze146
3896,559,915,4686,5016,5373,5230,randomGenerateMaze147
2915,6330,1766,6281,4724,6225,1263,randomGenerateMaze148
2741,833,6544,5549,3287,751,1219,randomGenerateMaze149
3717,925,3649,4491,3951,3600,5414,randomGenerateMaze150
1192,2079,6384,2422,6074,4868,2868,randomGenerateMaze151
3017,6215,4706,1348,272,6234,4103,randomGenerateMaze152
538,6010,4760,2286,4516,2125,6375,randomGenerateMaze153
4538,257,4045,5565,3282,4968,1781,randomGenerateMaze154
6323,564,3348,4938,3816,3724,1881,randomGenerateMaze155
5184,2605,3181,2406,2098,1388,2559,randomGenerateMaze156
2857,525,2329,6088,2349,6390,452,randomGenerateMaze157
1479,6318,5566,653,6230,5006,2571,randomGenerateMaze158
600,3498,3807,6423,341,539,4383,randomGenerateMaze159
2987,6240,3370,5481,5112,3114,1015,randomGenerateMaze160
4701,1653,3512,3882,3356,5421,3244,randomGenerateMaze161
2122,3580,2045,6291,858,5711,3724,randomGenerateMaze162
690,3104,4934,3190,3071,1006,5802,randomGenerateMaze163
9,9,9,9,9,9,9,randomGenerateMaze164
6607,6607,6607,6607,6607,6607,6607,randomGenerateMaze165
5114,4069,529,3330,1979,5310,4048,randomGenerateMaze166
5993,3401,1782,1610,653,3258,414,randomGenerateMaze167
558,479,5021,6344,5271,2311,2391,randomGenerateMaze168
2659,2146,2234,6096,5787,1283,1303,randomGenerateMaze169
921,2035,4917,6045,4460,138,2550,randomGenerateMaze170
637,4722,3578,2578,6067,5982,5923,randomGenerateMaze171
5002,2262,2235,3206,5448,2941,2428,randomGenerateMaze172
3255,3075,1601,1987,1122,2677,1106,randomGenerateMaze173
5575,1541,108,2042,739,2306,4360,randomGenerateMaze174
1308,829,3052,5243,5581,3048,480,randomGenerateMaze175
1728,1713,4413,4498,5522,1821,1447,randomGenerateMaze176
5012,2791,6110,2385,3112,4348,5436,randomGenerateMaze177
96,569,3643,81,87,1398,1669,randomGenerateMaze178
6153,904,6435,3674,3900,5534,4098,randomGenerateMaze179
1146,296,4231,5068,5009,3433,6035,randomGenerateMaze180
1906,6319,5320,5276,4579,5080,2093,randomGenerateMaze181
6119,6132,5174,6243,3451,5201,5151,randomGenerateMaze182
255,591,4877,5736,6017,1993,3745,randomGenerateMaze183
5031,403,6301,6150,5788,3878,2103,randomGenerateMaze184
9,1743,6018,2338,2291,13,93,randomGenerateMaze185
712,5278,5273,6580,2386,1176,5673,randomGenerateMaze186
4708,5547,587,6199,3174,5070,5934,randomGenerateMaze187
5304,1639,647,3541,5144,1430,4428,randomGenerateMaze188
4019,363,1620,5217,4260,4791,3722,randomGenerateMaze189
2061,5397,6470,6514,6433,441,5094,randomGenerateMaze190
2229,5154,6226,6294,6246,978,2133,randomGenerateMaze191
4944,1120,1258,3759,2427,4392,4983,randomGenerateMaze192
5187,5446,2773,1106,5958,2578,3970,randomGenerateMaze193
4728,2905,378,3705,2263,4534,6044,randomGenerateMaze194
5605,2665,2770,3541,5316,3788,2984,randomGenerateMaze195
2953,4429,1750,6566,594,5498,3332,randomGenerateMaze196
2138,3188,2611,1633,1819,1994,1548,randomGenerateMaze197
686,4284,5246,529,559,1794,6252,randomGenerateMaze198
5298,960,606,1467,6008,3374,5650,randomGenerateMaze199
2812,5472,4637,1866,1811,2388,3431,randomGenerateMaze200
1118,5104,1163,6288,5896,538,5478,randomGenerateMaze201
