DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
81,2932,3271,2334,5939,4359,2992,randomGenerateMaze447
4890,774,1258,5295,3759,4567,4056,randomGenerateMaze448
1425,4384,3746,277,295,6136,2554,randomGenerateMaze449
1901,1717,2333,5140,4832,5172,6143,randomGenerateMaze450
3107,3400,1275,2679,2323,1452,2144,randomGenerateMaze451
6091,4529,3318,1158,1199,127,1310,randomGenerateMaze452
1975,2099,5156,5580,1477,3355,5782,randomGenerateMaze453
2624,4034,6053,2563,2296,4822,2163,randomGenerateMaze454
6357,4910,3165,1420,1138,669,4644,randomGenerateMaze455
4613,279,3047,4086,4553,4332,4354,randomGenerateMaze456
3155,2514,493,6021,2752,3219,3186,randomGenerateMaze457
1805,3935,2421,635,785,6289,3162,randomGenerateMaze458
5438,2548,3578,4993,4719,4541,2661,randomGenerateMaze459
5863,1404,5101,4137,5800,1536,5550,randomGenerateMaze460
3281,4481,703,6128,2697,2869,6571,randomGenerateMaze461
884,1158,2698,5137,5078,3534,4119,randomGenerateMaze462
2960,2164,3105,2547,3223,2645,1840,randomGenerateMaze463
2039,6134,4001,6660,6660,1077,1505,randomGenerateMaze464
2433,4511,2756,5987,348,254,4642,randomGenerateMaze465
1125,3105,5994,6213,5774,756,4465,randomGenerateMaze466
1202,5723,1404,833,781,3738,5127,randomGenerateMaze467
4152,405,1277,5240,4297,4926,5434,randomGenerateMaze468
4173,170,2311,4582,3097,4820,5994,randomGenerateMaze469
5721,2806,2086,5827,5416,3785,2702,randomGenerateMaze470
12,1439,3433,5863,5530,3103,195,randomGenerateMaze471
1125,3959,5195,2403,5646,6075,2672,randomGenerateMaze472
2293,3423,3763,2164,6119,1283,1430,randomGenerateMaze473
3918,2109,765,1220,2690,2790,5561,randomGenerateMaze474
3,3,3,3,3,3,3,randomGenerateMaze475
5629,3249,6205,2610,2929,4926,4927,randomGenerateMaze476
6355,65,3706,4183,5487,5808,1518,randomGenerateMaze477
6158,1847,4860,3269,2842,1965,4008,randomGenerateMaze478
2480,2483,5892,1585,350,1380,711,randomGenerateMaze479
3716,4343,4921,453,567,414,4790,randomGenerateMaze480
5098,2443,845,1689,3549,3092,5766,randomGenerateMaze481
6545,6545,6545,6545,6545,6545,6545,randomGenerateMaze482
4796,6361,6291,1474,2515,3488,4170,randomGenerateMaze483
3381,2261,5743,6143,2617,1671,3332,randomGenerateMaze484
1073,3015,4163,2674,2186,1361,343,randomGenerateMaze485
2286,2410,2931,5160,4987,4032,5733,randomGenerateMaze486
1988,5203,5214,5974,2068,1529,3670,randomGenerateMaze487
3604,4297,1295,6081,5933,2844,1812,randomGenerateMaze488
5873,4865,5038,3878,4663,1878,3000,randomGenerateMaze489
4682,213,1874,2945,4123,5411,6285,randomGenerateMaze490
4180,4778,930,1401,1146,3799,5156,randomGenerateMaze491
2469,1065,3788,5017,4186,2582,4931,randomGenerateMaze492
109,386,1812,5071,5706,4258,1259,randomGenerateMaze493
5335,6001,2393,5144,3020,3126,2330,randomGenerateMaze494
5550,4494,3739,2116,1658,3029,4232,randomGenerateMaze495
6424,6424,6424,6424,6424,6424,6424,randomGenerateMaze496
6552,3221,67,5497,5364,772,1081,randomGenerateMaze497
6444,92,125,1746,2558,2980,236,randomGenerateMaze498
4066,824,6081,1997,4766,5345,1131,randomGenerateMaze499
773,5462,1234,2873,1514,1827,2865,randomGenerateMaze500
3359,683,3371,3607,4858,32,286,randomGenerateMaze501
1769,2863,3027,5964,5442,1481,1583,randomGenerateMaze502
1489,5722,2536,2328,2118,2931,3166,randomGenerateMaze503
4765,6438,839,4427,3293,5377,199,randomGenerateMaze504
1724,4938,5658,6388,6466,836,2893,randomGenerateMaze505
5475,2328,2681,3257,2006,4263,2443,randomGenerateMaze506
5801,3893,395,2821,2292,534,4440,randomGenerateMaze507
1889,2070,3436,5842,5268,1578,4044,randomGenerateMaze508
1115,3241,4696,3174,1131,2380,4676,randomGenerateMaze509
2798,5100,566,2381,344,294,5379,randomGenerateMaze510
693,2120,5465,3026,4388,1109,6319,randomGenerateMaze511
298,1596,4539,3578,3417,6250,4103,randomGenerateMaze512
3468,5575,1146,2223,5837,1333,5586,randomGenerateMaze513
673,2751,5170,2941,4309,719,5185,randomGenerateMaze514
605,6327,5255,2363,2249,936,5506,randomGenerateMaze515
5960,2783,6171,6174,1623,1558,3311,randomGenerateMaze516
3696,4044,2201,6480,1022,126,3021,randomGenerateMaze517
5970,5675,2796,5633,158,2351,1769,randomGenerateMaze518
1,1,1,1,1,1,1,randomGenerateMaze519
5824,1538,4868,5726,6351,1572,6108,randomGenerateMaze520
96,2785,5008,4473,3754,3657,3555,randomGenerateMaze521
3810,94,505,2575,2490,3730,1923,randomGenerateMaze522
3836,829,2193,5257,5952,4943,547,randomGenerateMaze523
4631,5425,117,1160,970,3532,5661,randomGenerateMaze524
1791,1866,3111,6321,809,2054,1464,randomGenerateMaze525
6006,5750,2178,2069,2231,5658,1915,randomGenerateMaze526
357,2480,4659,5953,4784,1713,1997,randomGenerateMaze527
2729,4414,4381,1384,1441,2523,3319,randomGenerateMaze528
6229,5388,3364,1776,610,714,5377,randomGenerateMaze529
4820,328,1328,5621,4616,5360,6419,randomGenerateMaze530
5839,52,2794,2823,3294,3738,1674,randomGenerateMaze531
2530,3069,3494,3969,5649,1943,5369,randomGenerateMaze532
1869,2635,3938,6431,6323,373,129,randomGenerateMaze533
2411,1763,1126,1474,2033,851,415,randomGenerateMaze534
6526,6526,6526,6526,6526,6526,6526,randomGenerateMaze535
4638,609,740,4888,4956,4309,6506,randomGenerateMaze536
5043,761,1473,3750,5564,4615,3884,randomGenerateMaze537
3994,93,1020,1628,1472,2410,2494,randomGenerateMaze538
3858,591,855,3837,3780,3104,4974,randomGenerateMaze539
211,2841,5676,6329,6135,6406,1207,randomGenerateMaze540
4488,2889,6166,2794,4326,3394,5299,randomGenerateMaze541
3777,5185,3032,1016,1719,4883,5159,randomGenerateMaze542
683,2321,3727,4279,4781,1867,4245,randomGenerateMaze543
2518,1815,6181,4772,629,1652,848,randomGenerateMaze544
2480,5900,4439,2059,1498,1607,1702,randomGenerateMaze545
245,2288,5083,3427,1964,203,1640,randomGenerateMaze546
1,1,1,1,1,1,1,randomGenerateMaze547
4716,571,257,2109,1033,3584,3506,randomGenerateMaze548
5613,519,3525,4807,4875,2132,4711,randomGenerateMaze549
6193,4270,2228,6084,2091,2957,2005,randomGenerateMaze550
3438,5048,123,815,6046,969,4287,randomGenerateMaze551
532,3115,4872,847,1395,1475,5141,randomGenerateMaze552
1747,4539,3173,2134,849,1188,4784,randomGenerateMaze553
74,161,918,5458,5165,4919,2390,randomGenerateMaze554
3149,5733,4708,601,899,813,4583,randomGenerateMaze555
2462,2756,2858,1808,5918,6448,1093,randomGenerateMaze556
3012,5794,6277,846,1224,3995,3809,randomGenerateMaze557
1094,1760,97,338,101,121,603,randomGenerateMaze558
1751,1697,4705,2993,2466,1350,5711,randomGenerateMaze559
4368,3762,5831,5991,941,6444,3338,randomGenerateMaze560
4788,154,477,5896,4173,5217,3069,randomGenerateMaze561
4844,6258,6256,3918,3517,4867,2631,randomGenerateMaze562
2808,3011,1787,1873,2900,2299,1807,randomGenerateMaze563
3146,5729,2657,5684,3117,2420,3321,randomGenerateMaze564
1679,3999,4333,411,240,1662,230,randomGenerateMaze565
4434,378,1607,4489,5139,5314,5851,randomGenerateMaze566
3810,3049,1755,5776,2763,1969,4771,randomGenerateMaze567
2512,6137,3620,4245,3264,3154,1154,randomGenerateMaze568
1642,2729,3870,1428,857,937,2524,randomGenerateMaze569
1078,5590,719,2124,6208,509,139,randomGenerateMaze570
920,5252,958,279,6309,381,5530,randomGenerateMaze571
309,3362,4198,5215,5635,1591,3073,randomGenerateMaze572
3890,3850,993,1129,3981,6330,4378,randomGenerateMaze573
4658,622,1515,4972,5749,4070,2338,randomGenerateMaze574
3941,4101,1601,6275,6227,5545,3203,randomGenerateMaze575
849,2794,4035,2012,348,1032,1150,randomGenerateMaze576
1,1,1,1,1,1,1,randomGenerateMaze577
6065,4599,137,405,514,6255,3393,randomGenerateMaze578
5775,4257,3521,1810,868,737,5193,randomGenerateMaze579
5463,4371,211,1104,1316,4064,4899,randomGenerateMaze580
5064,6026,3891,2876,2194,4647,3088,randomGenerateMaze581
4232,1681,1168,4271,4625,4447,306,randomGenerateMaze582
6097,2860,6256,6060,5767,4397,2740,randomGenerateMaze583
686,2598,4595,6351,5334,1274,5501,randomGenerateMaze584
1781,6099,3643,5787,646,1535,3432,randomGenerateMaze585
5740,3811,130,1010,1774,5192,6060,randomGenerateMaze586
2055,5404,4294,358,929,2644,6560,randomGenerateMaze587
3200,1498,1595,3760,3704,5860,1556,randomGenerateMaze588
1284,6355,1937,4471,5083,4527,1603,randomGenerateMaze589
2525,5351,3816,1015,4250,6276,6494,randomGenerateMaze590
6192,1215,4244,4323,2736,193,2311,randomGenerateMaze591
3351,6169,5699,3286,3291,2838,1893,randomGenerateMaze592
640,1103,5715,5071,5555,4175,4720,randomGenerateMaze593
3460,2868,3473,3700,5414,5888,2775,randomGenerateMaze594
4695,3695,4317,1546,2045,1227,4211,randomGenerateMaze595
1483,5188,4809,515,1024,1476,5093,randomGenerateMaze596
403,599,1094,5817,5637,4601,4609,randomGenerateMaze597
5063,4584,5870,2910,1588,3967,1970,randomGenerateMaze598
5716,2780,1969,1476,5261,3933,4595,randomGenerateMaze599
1913,5762,1642,2486,2099,1976,2614,randomGenerateMaze600
6014,5114,5744,5721,898,3481,6042,randomGenerateMaze601
1924,4151,4804,1128,577,1193,3124,randomGenerateMaze602
3726,1389,794,5264,6063,4385,2794,randomGenerateMaze603
3357,295,344,6303,1456,3784,2797,randomGenerateMaze604
325,868,1924,4564,4112,5668,1167,randomGenerateMaze605
762,802,2010,5116,4408,3447,5541,randomGenerateMaze606
3241,4359,1981,25,58,6240,532,randomGenerateMaze607
6342,2536,4178,6345,308,1193,2827,randomGenerateMaze608
1352,1825,4670,4201,4595,2689,1007,randomGenerateMaze609
572,2528,4598,2137,1707,330,4181,randomGenerateMaze610
1433,5640,4132,894,2133,793,4848,randomGenerateMaze611
6266,6364,2073,2844,1838,5665,2284,randomGenerateMaze612
4394,3854,1522,1411,807,1283,6222,randomGenerateMaze613
5594,4873,615,1224,2972,2419,4649,randomGenerateMaze614
531,3099,3359,3932,4154,4044,2772,randomGenerateMaze615
2693,4039,3863,1220,1315,1059,959,randomGenerateMaze616
1390,2322,3905,3560,2234,6427,2149,randomGenerateMaze617
2185,1853,5840,3006,2830,1890,1548,randomGenerateMaze618
350,3972,4686,6602,6594,6567,1761,randomGenerateMaze619
1680,4630,6013,5976,5546,571,4517,randomGenerateMaze620
2857,4171,3702,1731,1885,6412,2724,randomGenerateMaze621
2180,1369,2509,3312,3764,4837,3891,randomGenerateMaze622
2320,3897,56,1698,1835,876,2307,randomGenerateMaze623
2316,2082,3909,5355,4424,3151,4660,randomGenerateMaze624
787,3397,4768,2521,2003,1261,1005,randomGenerateMaze625
1325,5617,2946,1440,832,6144,3775,randomGenerateMaze626
2616,3928,4559,2503,2140,1323,3378,randomGenerateMaze627
3513,278,6258,5337,5220,4068,6196,randomGenerateMaze628
6237,1858,3484,160,175,6329,526,randomGenerateMaze629
3770,5866,2355,1675,1364,1981,4391,randomGenerateMaze630
3976,1396,3328,3698,2533,4726,3707,randomGenerateMaze631
4582,1584,6331,3792,5346,4722,4292,randomGenerateMaze632
14,14,14,14,14,14,14,randomGenerateMaze633
742,4313,5141,5605,4257,6236,2621,randomGenerateMaze634
6606,4941,1146,5368,161,1626,85,randomGenerateMaze635
5840,5655,6297,1120,6299,5538,3734,randomGenerateMaze636
2025,5818,3908,3105,3017,1884,2295,randomGenerateMaze637
4397,3470,924,3051,6508,5935,2533,randomGenerateMaze638
2715,3897,4042,599,1227,6256,5485,randomGenerateMaze639
4681,1793,3765,3943,4552,3035,5608,randomGenerateMaze640
2298,1917,4299,2206,3714,957,5077,randomGenerateMaze641
2528,5464,5596,2535,1950,4831,5512,randomGenerateMaze642
1,1,1,1,1,1,1,randomGenerateMaze643
5296,1607,4431,5742,4991,1833,5040,randomGenerateMaze644
3814,4083,32,6331,119,35,240,randomGenerateMaze645
72,822,6397,3541,3026,4191,2511,randomGenerateMaze646
5077,1336,2074,4809,4771,3161,3384,randomGenerateMaze647
3162,6021,1413,1591,2389,953,2531,randomGenerateMaze648
6491,6491,6491,6491,6491,6491,6491,randomGenerateMaze649
2419,5836,3252,1789,2528,4511,4388,randomGenerateMaze650
2240,3850,2789,917,905,1586,2217,randomGenerateMaze651
3228,5265,3010,108,153,657,4363,randomGenerateMaze652
5742,228,429,2674,338,31,21,randomGenerateMaze653
2090,5461,6042,2310,1857,4197,2697,randomGenerateMaze654
5406,4656,2468,1448,2234,4927,5674,randomGenerateMaze655
2299,3284,2583,2712,3009,182,1984,randomGenerateMaze656
552,1152,4775,4601,3734,2226,6209,randomGenerateMaze657
5,5,5,5,5,5,5,randomGenerateMaze658
4637,2928,1147,2082,1210,3389,4348,randomGenerateMaze659
5497,226,3039,3930,3947,4348,1253,randomGenerateMaze660
3777,2398,1481,3972,1651,3366,3062,randomGenerateMaze661
2826,2030,6112,3428,3044,2435,1991,randomGenerateMaze662
2403,633,1934,2641,5977,3309,1031,randomGenerateMaze663
6346,2396,1941,4006,6518,2908,1451,randomGenerateMaze664
5250,271,378,2016,1674,4438,4609,randomGenerateMaze665
4821,5586,3421,3891,3083,4239,4521,randomGenerateMaze666
3896,765,1453,5780,5012,4397,6579,randomGenerateMaze667
6518,6518,6518,6518,6518,6518,6518,randomGenerateMaze668
4045,3723,738,3217,5125,401,772,randomGenerateMaze669
921,3691,5282,342,6246,486,6523,randomGenerateMaze670
3173,4724,5170,394,336,1194,5733,randomGenerateMaze671
5514,213,908,4461,2863,3282,4033,randomGenerateMaze672
4725,2459,6132,1693,2212,3053,1520,randomGenerateMaze673
2616,4247,2937,1616,3430,452,1783,randomGenerateMaze674
3802,4963,5654,730,4114,3148,4936,randomGenerateMaze675
4452,4805,1750,1466,2633,3805,4512,randomGenerateMaze676
619,1928,4803,638,471,1619,4280,randomGenerateMaze677
1052,1882,1563,3923,4153,1162,4894,randomGenerateMaze678
1003,1234,1512,4658,4129,4340,4128,randomGenerateMaze679
2819,2613,5831,2175,2568,523,2098,randomGenerateMaze680
1586,6410,4060,6366,4125,4948,639,randomGenerateMaze681
1350,3233,2410,1653,1527,1522,3770,randomGenerateMaze682
4574,96,578,4834,4073,5196,4067,randomGenerateMaze683
1171,4453,4449,1148,1169,898,2473,randomGenerateMaze684
3638,2366,1271,6199,5358,1108,1166,randomGenerateMaze685
6450,6450,6450,6450,6450,6450,6450,randomGenerateMaze686
1551,4729,3524,862,6088,3002,1008,randomGenerateMaze687
3045,3607,3164,3385,3914,2583,3538,randomGenerateMaze688
3255,725,24,692,143,1663,76,randomGenerateMaze689
3188,2769,5005,2902,1747,806,4162,randomGenerateMaze690
5085,5743,1432,4109,3037,6237,5589,randomGenerateMaze691
5440,4306,276,906,973,3884,4127,randomGenerateMaze692
3111,1287,5965,5552,2370,2718,2454,randomGenerateMaze693
2087,3078,3371,1764,1100,2116,3713,randomGenerateMaze694
4679,1026,4900,4612,3814,3169,5432,randomGenerateMaze695
5319,3752,1338,3608,5324,2729,3178,randomGenerateMaze696
5857,4941,3244,6229,4151,6002,4285,randomGenerateMaze697
3555,5366,4193,6446,6258,2510,2766,randomGenerateMaze698
883,1428,3615,3669,4825,2225,5799,randomGenerateMaze699
733,3291,5285,290,254,681,1393,randomGenerateMaze700
44,3639,5584,3859,4343,414,518,randomGenerateMaze701
3513,556,1568,5565,4921,4439,6224,randomGenerateMaze702
4941,6517,1577,6060,6018,4161,4622,randomGenerateMaze703
5601,5827,2145,855,766,2486,3897,randomGenerateMaze704
6445,6445,6445,6445,6445,6445,6445,randomGenerateMaze705
1839,2415,4031,4543,4371,2925,3102,randomGenerateMaze706
1080,2224,3786,6305,5542,6357,1920,randomGenerateMaze707
6,6,6,6,6,6,6,randomGenerateMaze708
3865,548,3014,5357,4397,5141,5609,randomGenerateMaze709
3331,3753,2028,1080,787,865,5184,randomGenerateMaze710
406,1764,3316,3479,3265,1806,2325,randomGenerateMaze711
1167,3409,3818,1780,873,574,1320,randomGenerateMaze712
2374,3026,3147,3120,2721,1857,1341,randomGenerateMaze713
261,3183,6534,224,295,128,116,randomGenerateMaze714
2137,2505,4989,2326,2112,2639,5835,randomGenerateMaze715
1690,4183,5648,6509,2455,3772,4414,randomGenerateMaze716
5312,4335,65,2112,5402,1929,1343,randomGenerateMaze717
3047,713,2488,4865,4083,3114,4664,randomGenerateMaze718
6181,724,2808,3030,723,5848,2387,randomGenerateMaze719
2658,2507,6223,2013,2666,2522,2008,randomGenerateMaze720
3358,5294,3555,482,4713,619,5649,randomGenerateMaze721
6143,1954,4030,3658,3844,2708,3818,randomGenerateMaze722
5894,5122,3733,2374,2894,1603,5634,randomGenerateMaze723
686,1940,4036,2255,3815,2093,5672,randomGenerateMaze724
115,6295,4195,4042,548,1733,621,randomGenerateMaze725
3483,3496,3126,1553,803,2884,4723,randomGenerateMaze726
2310,6504,5214,6365,6424,3264,1243,randomGenerateMaze727
387,1448,814,2599,2242,6477,95,randomGenerateMaze728
5939,4530,5179,6269,5884,3255,3294,randomGenerateMaze729
6479,1446,2896,6141,278,3105,1926,randomGenerateMaze730
5128,3224,5222,1151,2001,996,5804,randomGenerateMaze731
6308,5669,4150,226,212,2367,5217,randomGenerateMaze732
5641,6140,6499,2335,3505,1710,2457,randomGenerateMaze733
5209,4713,724,6457,202,2866,239,randomGenerateMaze734
2091,5250,427,1949,828,4354,522,randomGenerateMaze735
5899,754,1785,1690,3876,2041,1259,randomGenerateMaze736
1066,3928,3928,1980,2849,4812,2998,randomGenerateMaze737
660,5533,5208,5772,5387,2548,6439,randomGenerateMaze738
6300,5389,3044,1823,392,730,5638,randomGenerateMaze739
3973,119,3088,4474,3226,2675,329,randomGenerateMaze740
4845,6242,186,2922,6226,2437,1901,randomGenerateMaze741
6330,1177,2893,4069,4046,77,463,randomGenerateMaze742
1363,3090,4191,929,4461,5846,2260,randomGenerateMaze743
1637,5414,1202,549,1360,966,6013,randomGenerateMaze744
1947,4240,3457,119,826,785,3392,randomGenerateMaze745
3260,1119,4303,4342,3961,2903,4353,randomGenerateMaze746
8,8,8,8,8,8,8,randomGenerateMaze747
2337,3676,3131,2190,1854,1173,3092,randomGenerateMaze748
6533,6533,6533,6533,6533,6533,6533,randomGenerateMaze749
5402,3853,1082,1525,400,4220,1607,randomGenerateMaze750
5335,2904,410,1949,2066,4777,4343,randomGenerateMaze751
3677,451,2807,5454,5310,3670,6154,randomGenerateMaze752
5148,1985,6038,4921,5415,5003,2185,randomGenerateMaze753
3565,3190,1165,2940,5756,1851,1236,randomGenerateMaze754
5443,5068,68,468,312,1620,2721,randomGenerateMaze755
738,2249,5531,765,624,668,2203,randomGenerateMaze756
3714,189,842,2328,4435,4708,2648,randomGenerateMaze757
2885,350,61,668,1114,2887,1020,randomGenerateMaze758
44,2952,3759,4820,4318,2995,96,randomGenerateMaze759
2,1502,6008,5161,2363,5908,12,randomGenerateMaze760
1798,988,4155,4622,3932,2515,4909,randomGenerateMaze761
1425,2128,4774,1685,2740,5709,1703,randomGenerateMaze762
2108,3842,1562,5918,1714,675,1185,randomGenerateMaze763
480,3764,4363,1715,362,321,2363,randomGenerateMaze764
4960,4262,6486,1595,607,4636,6391,randomGenerateMaze765
2235,6226,6434,1860,2152,883,3554,randomGenerateMaze766
2629,5710,424,898,1407,1430,5859,randomGenerateMaze767
2004,2227,3340,2892,2098,2725,1727,randomGenerateMaze768
5751,5007,3245,6547,1150,318,1912,randomGenerateMaze769
2742,4463,4225,1986,1310,2295,1159,randomGenerateMaze770
3240,2754,1313,5953,5839,3264,4155,randomGenerateMaze771
4760,4161,501,2579,2219,5145,5378,randomGenerateMaze772
3232,6570,3412,1699,1665,1623,1918,randomGenerateMaze773
2054,5868,5485,952,3465,5813,1045,randomGenerateMaze774
4599,308,3478,5066,3158,4759,4389,randomGenerateMaze775
1444,3013,5214,760,1049,984,3803,randomGenerateMaze776
4759,1611,813,2442,978,4747,4497,randomGenerateMaze777
2966,5346,650,1829,260,3596,2148,randomGenerateMaze778
32,830,4132,2620,2440,2128,855,randomGenerateMaze779
3320,5646,55,301,480,26,447,randomGenerateMaze780
400,3966,4580,67,70,6262,950,randomGenerateMaze781
384,1321,5111,2057,4787,6236,3483,randomGenerateMaze782
5172,285,2161,4121,742,3979,5248,randomGenerateMaze783
3288,4299,1737,6360,1170,6034,3772,randomGenerateMaze784
3963,3006,6261,4855,5127,2910,4674,randomGenerateMaze785
2928,4224,6603,1847,6171,1801,813,randomGenerateMaze786
3203,5338,189,339,1264,1055,5182,randomGenerateMaze787
5944,4078,2516,1431,1706,2024,1330,randomGenerateMaze788
164,1327,5369,5370,4161,3966,3090,randomGenerateMaze789
5146,2706,2309,5438,4751,5663,6396,randomGenerateMaze790
3592,128,5806,5576,5128,4374,4111,randomGenerateMaze791
5001,2157,1555,2548,5785,3235,4849,randomGenerateMaze792
5614,1462,5650,3194,3754,6205,2286,randomGenerateMaze793
1565,2248,3946,3240,5673,5688,3012,randomGenerateMaze794
3582,4288,3647,1609,809,1078,4652,randomGenerateMaze795
209,1745,2048,5711,5794,5299,2536,randomGenerateMaze796
170,5945,4939,3270,3659,601,2514,randomGenerateMaze797
4984,3336,803,3401,1364,2232,5782,randomGenerateMaze798
3147,3148,2069,1789,5425,1873,2064,randomGenerateMaze799
1140,3947,5109,4325,4047,1618,1944,randomGenerateMaze800
5063,6430,1737,1721,6244,5944,2738,randomGenerateMaze801
4027,5762,6160,4249,4277,5097,2168,randomGenerateMaze802
4,4,4,4,4,4,4,randomGenerateMaze803
2489,4935,3380,4548,4012,3395,2705,randomGenerateMaze804
2117,5608,137,369,6502,465,484,randomGenerateMaze805
354,6350,4572,4041,4261,2120,4798,randomGenerateMaze806
1629,3719,5526,1710,1912,5857,4311,randomGenerateMaze807
3089,6453,1837,5201,5426,1120,401,randomGenerateMaze808
5595,1105,5905,4352,5041,4288,3996,randomGenerateMaze809
3191,5400,3701,2531,735,1415,6383,randomGenerateMaze810
76,76,76,76,76,76,76,randomGenerateMaze811
6623,6623,6623,6623,6623,6623,6623,randomGenerateMaze812
4921,3787,253,3299,2301,6069,4303,randomGenerateMaze813
6501,1727,2871,4187,2784,6116,3937,randomGenerateMaze814
5928,972,1229,4369,4265,4644,3745,randomGenerateMaze815
3794,2112,2118,3399,1012,3489,1272,randomGenerateMaze816
6530,2083,4802,387,4068,3517,3860,randomGenerateMaze817
1979,3179,3774,1514,6350,521,3216,randomGenerateMaze818
1395,5618,5573,309,6401,1293,2933,randomGenerateMaze819
3429,5624,3541,5485,6129,1116,3635,randomGenerateMaze820
4737,708,6336,4267,2000,3798,1723,randomGenerateMaze821
1888,260,454,4006,2031,3229,1377,randomGenerateMaze822
4855,4446,2518,1611,1464,5698,5434,randomGenerateMaze823
1442,1838,2849,3753,997,1849,3395,randomGenerateMaze824
2438,5045,2884,2502,2445,5450,696,randomGenerateMaze825
6534,6534,6534,6534,6534,6534,6534,randomGenerateMaze826
613,6133,4518,6168,544,2239,1912,randomGenerateMaze827
1780,1945,4094,3229,2347,2875,3933,randomGenerateMaze828
227,1567,5882,4023,1519,6123,5390,randomGenerateMaze829
6596,6596,6596,6596,6596,6596,6596,randomGenerateMaze830
4758,2661,5797,4111,5569,4494,4559,randomGenerateMaze831
1,1,1,1,1,1,1,randomGenerateMaze832
2817,6248,2856,5370,5272,3362,2759,randomGenerateMaze833
6444,4945,4265,1253,4336,1124,5813,randomGenerateMaze834
2603,1568,4979,4374,1857,2837,5575,randomGenerateMaze835
4060,907,1525,4876,5346,3924,6098,randomGenerateMaze836
2469,5986,4709,6210,5163,6273,5148,randomGenerateMaze837
4242,1621,3156,4949,3991,5664,3875,randomGenerateMaze838
3548,2393,3403,5681,4578,2001,3332,randomGenerateMaze839
4236,2199,1501,5777,4101,3551,3684,randomGenerateMaze840
3162,4489,2935,6424,6567,6617,607,randomGenerateMaze841
4501,2967,935,2493,3225,4952,4097,randomGenerateMaze842
2937,5306,5969,6542,6377,732,1796,randomGenerateMaze843
5637,3871,6407,6245,6079,1958,6401,randomGenerateMaze844
8,8,8,8,8,8,8,randomGenerateMaze845
5476,3783,900,1961,2532,2396,5421,randomGenerateMaze846
2725,4074,3126,1700,1914,2188,3208,randomGenerateMaze847
372,1297,4665,2617,4838,1012,4423,randomGenerateMaze848
620,4888,5213,2389,1612,620,1748,randomGenerateMaze849
3622,1079,3405,5143,5025,3048,6118,randomGenerateMaze850
6482,6505,3632,3066,3075,6168,731,randomGenerateMaze851
770,2657,4629,2895,2031,975,3435,randomGenerateMaze852
1137,3341,3825,303,6229,5875,1621,randomGenerateMaze853
4052,3436,2230,2984,5039,5200,5685,randomGenerateMaze854
3473,3647,5482,2704,1537,2100,2953,randomGenerateMaze855
4514,3881,6259,1751,2518,1715,2832,randomGenerateMaze856
1242,407,2690,5408,4173,5658,5908,randomGenerateMaze857
6193,3848,3493,1358,1131,724,648,randomGenerateMaze858
401,1664,5327,3538,3857,2197,3861,randomGenerateMaze859
3144,465,1261,4826,3040,4973,6458,randomGenerateMaze860
6092,5052,5318,2652,3067,1041,1406,randomGenerateMaze861
1352,1827,2715,5860,5849,3952,6189,randomGenerateMaze862
150,416,4231,5385,3336,3421,4333,randomGenerateMaze863
1277,3491,5450,3650,4158,5885,3452,randomGenerateMaze864
6339,548,5864,1447,1562,2039,4833,randomGenerateMaze865
2062,1501,4687,3822,4303,2153,4003,randomGenerateMaze866
3724,1779,6433,3486,3372,133,936,randomGenerateMaze867
667,4977,4815,993,1167,2684,6179,randomGenerateMaze868
4186,5967,6338,6046,3333,1242,323,randomGenerateMaze869
4490,3287,6265,2849,2300,6352,3309,randomGenerateMaze870
2358,3902,2860,824,1114,516,3312,randomGenerateMaze871
106,656,3275,979,764,2893,1103,randomGenerateMaze872
4456,6052,2116,4732,5467,4458,1490,randomGenerateMaze873
5428,6390,2015,5430,4716,5486,1706,randomGenerateMaze874
45,1072,2202,5921,5726,4406,1186,randomGenerateMaze875
2574,4095,3033,2690,1812,738,6003,randomGenerateMaze876
2249,4775,3818,6134,6335,1536,4605,randomGenerateMaze877
808,2422,5698,6219,5466,1100,6468,randomGenerateMaze878
3996,1976,2021,609,3701,3963,703,randomGenerateMaze879
3,3,3,3,3,3,3,randomGenerateMaze880
3454,420,2054,2942,5499,4281,1409,randomGenerateMaze881
3064,2867,3100,6182,2430,4458,3162,randomGenerateMaze882
1908,2215,4688,3056,2873,2485,3487,randomGenerateMaze883
3245,4420,1479,2708,1193,299,4338,randomGenerateMaze884
3057,6417,5254,3993,5573,2023,6236,randomGenerateMaze885
1514,6285,5635,838,791,5949,5388,randomGenerateMaze886
3448,4400,1700,1190,842,83,514,randomGenerateMaze887
4781,1293,2235,3571,4976,2509,1455,randomGenerateMaze888
2773,4088,3449,96,129,6077,3476,randomGenerateMaze889
1605,5937,5722,6485,5975,1156,4116,randomGenerateMaze890
1421,3513,3944,1591,1645,1035,3793,randomGenerateMaze891
3755,471,2483,4268,3583,3544,1078,randomGenerateMaze892
2804,2409,3331,2251,3304,1692,1608,randomGenerateMaze893
3240,1287,2106,5363,5995,3312,3229,randomGenerateMaze894
3490,860,1707,5200,4048,4157,4807,randomGenerateMaze895
3400,824,944,898,1447,330,2458,randomGenerateMaze896
6349,6284,4156,5317,1978,1139,2334,randomGenerateMaze897
5964,4249,3338,6494,2803,6516,4558,randomGenerateMaze898
