itemsInArray,time(ns),mergeThreshold,timesToLoop
0,9500,1,1
10,99600,1,1
20,55300,1,1
30,65500,1,1
40,80500,1,1
50,86800,1,1
60,103000,1,1
70,130200,1,1
80,139700,1,1
90,202900,1,1
0,900,3,1
10,12200,3,1
20,20700,3,1
30,46100,3,1
40,79300,3,1
50,13200,3,1
60,15100,3,1
70,29500,3,1
80,20900,3,1
90,23800,3,1
0,700,2,1
10,77700,2,1
20,14300,2,1
30,20900,2,1
40,27200,2,1
50,42400,2,1
60,47700,2,1
70,52000,2,1
80,54900,2,1
90,97000,2,1
