peek() time (ns),add() Best Case time (ns),add() Worst Case time (ns),extractMax() Best Case time (ns),extractMax() Worst Case time (ns),Items (n), logn,nlogn
100,27531150,265265550,12825750,-365200,1051000,6.021602716028243,6328704.454545683
150,34906450,212434550,56010400,-2763700,1052000,6.0220157398177205,6335160.558288242
50,41184600,218732650,-31487750,3066500,1053000,6.0224283711854865,6341617.074858317
200,79887450,220332550,14546400,-57107250,1054000,6.022840610876528,6348074.00386386
50,35111650,212872950,-70058950,-23493150,1055000,6.023252459633712,6354531.344913566
50,38268000,205762350,79825250,-55596100,1056000,6.023663918197793,6360989.09761687
100,43851750,216463600,58131700,-1730100,1057000,6.024074987307427,6367447.26158395
150,50940100,219923400,31355700,51460500,1058000,6.024485667699167,6373905.836425719
50,72700650,215228400,49809800,-36176200,1059000,6.024895960107485,6380364.821753827
200,27353900,257828950,5698650,13722550,1060000,6.02530586526477,6386824.217180656
150,34958900,216051800,106063750,-55147350,1061000,6.025715383901341,6393284.022319322
150,34272550,212744300,66869850,-2660000,1062000,6.02612451674545,6399744.236783668
100,25341900,298688050,-16749250,-28622750,1063000,6.026533264523297,6406204.860188265
100,24830000,201477750,20665700,-3176250,1064000,6.0269416279590295,6412665.892148407
200,40199800,352785600,35518000,-3078100,1065000,6.027349607774757,6419127.332280116
150,41511750,206145700,-49569500,5661700,1066000,6.027757204690554,6425589.18020013
200,77637950,227921900,50100300,-58954750,1067000,6.02816441942447,6432051.435525909
150,24313450,258452200,31975350,33555300,1068000,6.0285712526925375,6438514.09787563
100,24275500,260128900,13213400,-45962550,1069000,6.028977705208778,6444977.166868184
50,62488100,219585200,20934100,52684900,1070000,6.02938377768521,6451440.642123175
0,26676850,253292750,-18334250,-3753050,1071000,6.029789470831855,6457904.5232609175
150,35064900,205702100,78301000,-39282000,1072000,6.030194785356751,6464368.809902437
150,35472200,213312250,32717650,-96305950,1073000,6.0305997219659515,6470833.501669466
150,43804250,230419500,28986000,27611950,1074000,6.031004281363537,6477298.598184439
150,35088000,216420150,-47886800,-22257650,1075000,6.031408464251625,6483764.099070497
150,48066200,206491200,12002800,-4272800,1076000,6.03181227133037,6490230.003951478
150,39698250,216549150,165862150,-47874550,1077000,6.0322157032979815,6496696.312451926
50,34736600,214247550,68284400,-48229000,1078000,6.03261876085072,6503163.0241970755
50,48196400,214696050,60178950,-62000350,1079000,6.033021444682911,6509630.1388128605
150,24707050,252794900,32783850,45242100,1080000,6.033423755486949,6516097.655925905
100,27239850,256957650,29885250,28335950,1081000,6.03382569395331,6522565.575163528
150,34987350,209442050,63060300,14152050,1082000,6.0342272607705505,6529033.896153736
150,36677650,213401550,-50482700,6361000,1083000,6.03462845662532,6535502.618525222
150,65838500,210278950,77857600,21597800,1084000,6.035029282202368,6541971.741907367
100,24496750,262538500,40600650,-52309700,1085000,6.035429738184549,6548441.265930235
100,24808850,206733950,60533250,11817800,1086000,6.035829825252828,6554911.190224572
200,36730450,224806150,28681450,60395200,1087000,6.036229544086295,6561381.514421802
50,68360950,223439900,42018000,22227100,1088000,6.036628895362161,6567852.238154031
50,34694600,214284750,61753000,-4142200,1089000,6.037027879755775,6574323.361054039
250,34513450,204275450,57432500,-36351700,1090000,6.037426497940624,6580794.88275528
150,24697000,239687200,41860050,10583050,1091000,6.037824750588342,6587266.802891881
50,61563200,229896100,27895850,62191800,1092000,6.038222638368718,6593739.12109864
200,71013000,210589850,50541850,51504850,1093000,6.038620161949702,6600211.837011024
50,68886850,231243550,38962100,-54939950,1094000,6.039017321997412,6606684.950265169
150,24384250,254386000,27334350,22744300,1095000,6.039414119176137,6613158.46049787
100,35796250,214599300,-58527100,-7035050,1096000,6.03981055414835,6619632.367346592
150,34398750,208352450,92334300,34733100,1097000,6.040206627574711,6626106.670449458
150,35268550,258541950,27150450,29083700,1098000,6.040602340114073,6632581.369445252
150,51703500,215899650,51009200,-5418800,1099000,6.040997692423491,6639056.463973417
200,40269150,221716600,134894900,29449400,1100000,6.041392685158225,6645531.953674048
150,24816500,204820700,60315950,-13814500,1101000,6.0417873189717515,6652007.8381878985
150,40220700,219785700,-56515850,-27023850,1102000,6.042181594515767,6658484.117156375
150,58656700,217604350,25397400,-5278350,1103000,6.042575512440191,6664960.790221531
150,41068550,224854650,145003150,-2724350,1104000,6.04296907339318,6671437.85702607
200,29935700,210758600,-102162150,-2623200,1105000,6.04336227802113,6677915.317213348
150,71593650,215256500,51304700,-8282400,1106000,6.043755126968679,6684393.170427359
50,40601000,222033850,-91172400,-2902800,1107000,6.044147620878722,6690871.416312746
250,68224350,241674750,16340150,-4867550,1108000,6.044539760392411,6697350.054514791
150,118272300,215610050,-30504050,-3110450,1109000,6.04493154614916,6703829.084679418
150,24970200,204515800,60929850,-4379050,1110000,6.045322978786658,6710308.50645319
150,48682550,217979500,-41210100,-33526150,1111000,6.0457140589408676,6716788.319483303
100,35443900,230362800,32770650,-63529550,1112000,6.046104787246039,6723268.523417595
50,24645600,208005900,96891450,-64977150,1113000,6.046495164334709,6729749.117904531
150,24444750,234701300,25655750,64197650,1114000,6.04688519083771,6736230.102593209
100,65337550,227538900,-13326750,-40372050,1115000,6.047274867384179,6742711.47713336
100,24555700,249945350,45004100,41770100,1116000,6.04766419460156,6749193.2411753405
150,30517000,217781250,66010650,5337300,1117000,6.048053173115609,6755675.394370136
250,86990700,243045300,26981600,2865450,1118000,6.048441803550404,6762157.936369352
200,41671100,224193100,-12466350,-30913250,1119000,6.04883008652835,6768640.866825224
200,34867850,253202650,33141800,1683350,1120000,6.049218022670182,6775124.185390604
50,40260450,216531350,-27100600,-45569650,1121000,6.0496056125949735,6781607.891718965
150,25261900,259747400,24222900,-11107900,1122000,6.049992856920142,6788091.9854644
250,37850800,267567950,-14924000,27769350,1123000,6.050379756261457,6794576.466281617
100,73571700,233486150,27633450,-3247650,1124000,6.050766311233042,6801061.333825939
50,40728600,311246650,26029300,64508400,1125000,6.051152522447381,6807546.587753304
150,79572150,211518450,38685150,-64785550,1126000,6.0515383905153275,6814032.227720259
150,26239750,214484000,76138600,17189850,1127000,6.051923916046107,6820518.253383962
150,67844150,220080750,21778900,-73532350,1128000,6.052309099647323,6827004.664402181
250,25532350,209165300,88563250,-57294450,1129000,6.052693941924968,6833491.4604332885
150,24576550,208761500,67312000,-1907000,1130000,6.05307844348342,6839978.641136264
150,35859200,218100550,-51347550,18564900,1131000,6.053462604925455,6846466.20617069
150,27445750,263333100,30374600,51843050,1132000,6.053846426852252,6852954.15519675
150,36249000,208014700,17564450,-4208450,1133000,6.054229909863397,6859442.48787523
150,40026850,361195200,29998500,-54224450,1134000,6.054613054556888,6865931.203867511
150,46520200,218931450,72377950,-1440200,1135000,6.054995861529141,6872420.302835575
150,24695700,290493550,23284900,-1268500,1136000,6.0553783313750005,6878909.784442
200,79992700,228964000,35236500,5695000,1137000,6.055760464687735,6885399.648349955
200,115383950,224109150,13919650,2393650,1138000,6.056142262059052,6891889.894223201
200,85870350,223565200,31165150,-3147500,1139000,6.0565237240791,6898380.521726095
200,25985450,238907700,6031250,17912250,1140000,6.056904851336473,6904871.530523579
100,84053150,233256700,35553350,31120650,1141000,6.057285644418215,6911362.920281183
250,24742550,264459350,68318750,35270250,1142000,6.057666103909829,6917854.690665025
150,67830400,222429200,-33891750,18709700,1143000,6.058046230395282,6924346.841341807
200,70623850,210112600,88784050,10759100,1144000,6.058426024457005,6930839.371978814
150,26096850,249535800,-10816800,-24653500,1145000,6.058805486675907,6937332.282243914
150,46079350,223919650,13730750,37732850,1146000,6.059184617631371,6943825.571805552
350,25467850,208174150,-47913200,-5801500,1147000,6.059563417901268,6950319.240332754
150,25101800,209598150,100699350,13454100,1148000,6.059941888061955,6956813.287495124
150,25558100,259780300,64632950,27391550,1149000,6.0603200286882855,6963307.71296284
100,34735900,215823450,74687900,39741850,1150000,6.060697840353612,6969802.516406653
200,35307100,216365600,24567150,93139600,1151000,6.061075323629792,6976297.69749789
200,32241550,231838750,14216100,-3180900,1152000,6.061452479087193,6982793.255908446
250,41112300,312966350,-32331000,-45355900,1153000,6.061829307294699,6989289.1913107885
200,33080950,207265150,69859600,-40887000,1154000,6.062205808819713,6995785.503377949
150,64188250,228387250,37925700,-2087650,1155000,6.062581984228163,7002282.191783528
150,103516150,209638400,31734400,22452000,1156000,6.06295783408451,7008779.256201694
50,58453150,228478150,58467100,-54883250,1157000,6.063333358951749,7015276.696307174
250,27549000,284880400,-5244850,14857450,1158000,6.063708559391418,7021774.511775262
