ItemsInList,Sorted time(ns)UnSorted time(ns)
1;24755;686
101;53365;56529
201;104269;48093
301;102825;98903
401;178094;195617
501;284570;288460
601;425751;424114
701;599083;610294
801;833230;785811
901;966261;957439
1001;1183177;1222294
1101;1469084;1455256
1201;1762263;1694065
1301;1998583;1995477
1401;2377970;2341167
1501;2674668;2692718
1601;3048464;3068373
1701;3528321;3477490
1801;3866082;3881192
1901;4332608;4287863
2001;4835115;4799199
2101;5290989;5280755
2201;5791289;5825623
2301;6484359;6395308
2401;7026477;6894907
2501;7620232;7531351
2601;8210729;8047398
2701;8978364;8856073
2801;9613711;9405906
2901;10417940;10275559
3001;10986279;11023206
3101;11682015;11571930
3201;12986868;13615156
3301;14349027;13684237
3401;14980815;14083739
3501;14882028;14912638
3601;16076361;15692054
3701;16856174;16562430
3801;17508518;17454540
3901;18625462;18309663
4001;19475171;19321951
4101;20494019;20311700
4201;21598210;21427950
4301;23672405;22897767
4401;24622583;23451082
4501;24811339;25220281
4601;26736271;26291221
4701;27823330;28491963
4801;30045051;28843121
4901;30587494;29952717
5001;32072999;31378498
5101;32769810;32433742
5201;33849751;33718480
5301;35527232;35078533
5401;37249220;37155211
5501;39619908;37786885
5601;41134259;40136105
5701;42437022;39382325
5801;41020068;40298795
5901;42041685;41179992
6001;43874798;42643180
6101;45204078;44456926
6201;46446415;45751733
6301;47814002;48831466
6401;51043763;49804203
6501;51183984;50192245
6601;52486448;52105050
6701;54652732;53472730
6801;56725922;55433878
6901;59603016;57890732
7001;58863355;58661402
7101;61561699;60070809
7201;62764275;61770626
7301;63808957;63832118
7401;68078248;66439176
7501;68466576;67357748
7601;69809077;68969535
7701;71679546;70914962
7801;74592505;74229309
7901;75532084;74505103
8001;77734951;76166392
8101;79605905;78581762
8201;82719319;81448987
8301;86837287;83647528
8401;87906221;85107410
8501;88306765;88102814
8601;93413973;88989077
8701;93184956;91350145
8801;94957153;93189939
8901;99964163;95380444
9001;98972532;97537470
9101;102053757;99861884
9201;104862849;101852222
9301;105799301;103722664
9401;107917941;107054318
9501;112435644;108109355
9601;113514991;111156459
9701;115293773;115156223
9801;117878890;115846760
9901;120622707;118710749
