Items in List (n),Our SortedTree time(ns),Our DescendingTree time(ns), Our RandomTree time(ns),Java SortedTree time(ns),Java DescendingTree time(ns), Java RandomTree time(ns)
13401,204113900,205244700,1461300,598500,591900,1356200
13501,207473500,208906300,1529200,599200,695300,1348800
13601,210845300,211650600,1510400,625100,632500,1349700
13701,215015100,217269900,1634700,635600,629200,1381400
13801,218591800,221565100,1541500,656100,649400,1401500
13901,225038300,225774200,1560500,647500,626200,1450000
14001,225029800,236214000,1522900,630900,624100,1514900
14101,228270300,231994500,1599200,641700,730300,1504400
14201,229700800,233102200,1605900,635600,651400,1489300
14301,234537700,240200900,1680900,757200,770000,1564100
14401,238961800,246711500,1646900,659000,646400,1493300
14501,240527700,247995500,1671000,681700,759300,1488100
14601,244495700,259527200,1754100,696800,660100,1517400
14701,251818300,254839100,1701500,719200,676400,1547200
14801,248776800,265117700,1699500,711700,673500,1561600
14901,259206200,263201900,1721900,688500,739100,1594300
15001,258820400,266846500,1779500,740200,691500,1692100
15101,268516500,264660100,1804100,689600,685300,1618300
15201,270727800,278232200,1753500,721700,714300,1588000
15301,270212600,273529700,1759400,746100,1006200,1595000
15401,275092000,280217900,1798800,688200,679000,1618200
15501,280818100,281424100,1789800,719200,716400,1644800
15601,280971400,287394600,1859500,722900,778300,1622800
15701,285539500,287564000,1877500,794500,708800,1676400
15801,291815800,295280600,1836700,739400,766200,1658900
15901,288996100,292770300,1854100,1013700,732200,1666300
16001,293593800,298179900,1892300,728100,770600,1688200
16101,299323300,306987500,1902300,751900,817400,1825500
16201,299991600,306829000,1896700,731200,720200,1676400
16301,303374400,310930700,1867100,768500,888000,1724500
16401,306573800,315793400,1958200,771400,891200,1748900
16501,312582400,316633400,2055500,824000,770100,1805500
16601,313089200,320713400,1953900,773000,731300,1768400
16701,323125300,326387100,2020100,854200,800900,1831000
16801,325441000,326973100,2003700,778500,864600,1795900
16901,329544400,334739000,1972300,758700,800300,1822100
17001,336735800,340486500,1975600,823500,800400,1841200
17101,336809600,346347400,2142000,799500,801100,1877900
17201,339675700,345170000,2042900,786400,817300,1864800
17301,346722800,354385600,2126200,821000,957300,1857200
17401,345272400,351455300,2085700,798900,807100,1840600
17501,351873700,365787800,2172400,800100,878700,1973900
17601,356866700,359462200,2115600,811500,811700,1944000
17701,363341500,367882200,2105500,884600,830900,1986400
17801,362218900,396238400,2247400,890600,882900,2065800
17901,390181300,379274500,2214300,848300,842800,1927900
18001,373425500,392782600,2315500,916500,825200,1981200
18101,385532500,387837900,2293600,881400,1009100,2051900
18201,383703200,388883100,2353700,913900,887700,2017300
18301,395216500,392718700,2275900,1050000,1193200,2759800
18401,398007000,398213900,2475600,973400,868500,2048500
18501,397538000,406682100,2247800,934600,898600,2027600
18601,400241700,406015600,2232200,889700,879700,2063500
18701,404644500,410831000,2309300,895800,875500,2091500
18801,405667600,422968000,2271600,883600,892000,2113200
18901,413160600,421814300,2364800,885600,936600,2109100
19001,417659700,418959900,2370800,929500,864300,2114500
19101,418687000,421489000,2313200,1003800,953600,2037600
19201,434337900,431705400,2326200,903300,916400,2104700
19301,426360400,434093400,2415700,969000,896800,2194600
19401,430857000,433920800,2404000,931700,1017500,2116300
19501,434477700,440500100,2446200,882800,924100,2144600
19601,438866100,445318900,2529000,922800,915500,2165600
19701,444625300,450668000,2443300,956200,954600,2193300
19801,447860200,455873700,2492000,905100,932700,2245700
19901,451858900,456790600,2376800,953700,947600,2273700
