ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns)
289,155200,160510,7570
290,165510,168220,7110
291,158250,163490,7760
292,159880,164280,7670
293,159180,165020,6960
294,168570,166470,7830
295,162510,167670,7420
296,163000,169530,8550
297,164760,169580,7330
298,172510,171450,7990
299,167010,172210,7340
300,168080,173630,8160
301,169850,174480,7440
302,169260,191960,8450
303,175120,197070,7760
304,181640,202980,8060
305,178930,179670,8100
306,191000,180250,8010
307,175310,181980,8590
308,176860,183090,8290
309,178280,184020,8330
310,179300,185380,7580
311,180120,186080,8560
312,180350,187460,8310
313,183500,196550,8020
314,181960,185680,7760
315,181560,186910,7850
316,181280,188810,8250
317,190460,189390,7350
318,184410,190260,7920
319,185720,192190,7850
320,187360,193820,8770
321,197630,194180,9020
322,189610,196190,7940
323,190500,197440,8550
324,190940,204860,7920
325,194280,199530,8990
326,194980,201180,8470
327,194400,202300,8130
328,204180,203580,8060
329,197510,204620,8610
330,199650,205740,8910
331,201250,236250,10430
332,342970,267340,9120
333,208290,210310,8600
334,204370,210990,9160
335,205800,226590,8740
336,214970,220000,8280
337,213220,220720,9400
338,213830,221510,9390
339,217750,227780,9140
340,219820,226040,9490
341,221020,228040,9440
342,350280,228490,9750
343,221930,229730,9460
344,222030,256830,9230
345,223770,231550,9420
346,225330,233270,9180
347,226730,245560,8890
348,291440,299570,9210
349,248840,241120,9610
350,230600,250780,10720
351,231950,240750,9260
352,233390,242410,10070
353,248060,242740,9350
354,238020,251440,9790
355,243480,252430,10330
356,250750,253730,9920
357,246860,254690,9310
358,248610,261280,11110
359,248730,258030,10460
360,250190,260090,10480
361,250190,267720,10270
362,253040,263310,10780
363,255940,265780,9660
364,266690,264810,10450
365,257950,267230,10360
366,259430,278520,10410
367,261580,269720,10100
368,264870,269860,10290
369,264490,272540,10700
370,265320,274340,10700
371,262400,250900,11350
372,271150,253020,9790
373,245200,253710,10590
374,247700,271450,9220
375,248900,256760,9360
376,249360,258700,9950
377,251940,259280,10010
378,257790,268370,10460
379,259380,272400,10990
380,271300,264090,9480
381,255740,266270,9100
382,258830,277800,9620
383,259740,268280,9880
384,261250,269670,9680
385,281320,270790,10090
386,263510,272970,10110
387,265680,292060,10040
388,266550,275780,10040
389,268220,277510,10360
390,279210,278980,9760
391,271550,280830,10960
392,273500,309660,20540
393,360940,286550,10250
394,276090,285160,10500
395,301460,293760,10080
396,278710,288010,11110
397,279590,322990,10190
398,285090,290950,10170
399,284120,301200,19620
400,288010,293820,10130
401,286260,294770,10790
402,301750,296750,11640
403,291700,312410,12140
404,303500,336530,11710
405,306190,315210,10980
406,305780,323630,12860
407,309260,318800,10710
408,310310,319720,19100
409,315800,321410,11260
410,312030,323790,11890
411,323070,325120,11170
412,315580,326880,12600
413,330300,328570,11490
414,319470,329770,12060
415,321200,331610,12100
416,321400,333380,11800
417,319390,335330,11230
418,310920,321020,10830
419,312780,335060,11240
420,313520,324880,11740
421,316130,344090,11770
422,318830,328900,11920
423,319420,336280,11840
424,331350,330660,11440
425,323800,332740,11740
426,333190,334210,11900
427,327220,336750,11590
428,336340,337470,12530
429,327630,339220,12170
430,344710,339570,11780
431,332890,341640,11460
432,339870,343830,12080
433,337760,345190,12250
434,349710,346420,12100
435,338450,349260,12220
436,353810,350250,12130
437,348870,351510,11920
438,355730,353530,12630
439,343880,354850,13410
440,368570,356840,12400
441,349030,359450,12900
442,357580,359940,13120
443,350780,361290,12810
444,396150,363550,13510
445,353590,364000,12070
446,369940,366950,12560
447,357770,368250,11740
