ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
36,1600,1690,1090,1296,1.556302501,56.02689003,1.234567901,1028.077767,28.55771575,1.304012346,1085.907142,30.16408727,0.841049383,700.3779789,19.45494386
37,1780,1880,1680,1369,1.568201724,58.02346379,1.300219138,1135.058056,30.67724475,1.373265157,1198.825362,32.40068547,1.227173119,1071.290749,28.95380403
38,1790,4340,1060,1444,1.579783597,60.03177667,1.239612188,1133.066582,29.81754163,3.005540166,2747.211713,72.29504507,0.734072022,670.9779759,17.65731515
39,-1770,1960,1080,1521,1.591064607,62.05151967,-1.163708087,-1112.462682,-28.52468415,1.288625904,1231.87958,31.5866559,0.710059172,678.790789,17.40489203
40,2020,1990,2640,1600,1.602059991,64.08239965,1.2625,1260.876628,31.5219157,1.24375,1242.150738,31.05376844,1.65,1647.878366,41.19695914
41,1840,2110,1040,1681,1.612783857,66.12413813,1.094586556,1140.884436,27.82644965,1.255205235,1308.296826,31.90967867,0.618679358,644.8477244,15.72799328
42,1970,2200,1060,1764,1.62324929,68.1764702,1.116780045,1213.615192,28.89559982,1.247165533,1355.306306,32.26919777,0.600907029,653.0112203,15.5478862
43,2140,2230,1060,1849,1.633468456,70.23914359,1.157382369,1310.0957,30.46734186,1.206057328,1365.193183,31.74867867,0.573282856,648.9259076,15.09130018
44,2290,2360,1110,1936,1.643452676,72.31191777,1.18285124,1393.407935,31.66836216,1.219008264,1436.001191,32.63639069,0.573347107,675.4073396,15.35016681
45,2390,2540,1170,2025,1.653212514,74.39456312,1.180246914,1445.67016,32.12600356,1.254320988,1536.402597,34.14227994,0.577777778,707.7130074,15.72695572
46,2530,2780,1380,2116,1.662757832,76.48686026,1.195652174,1521.568536,33.07757687,1.313799622,1671.921158,36.34611214,0.652173913,829.9464743,18.04231466
47,2710,2900,1300,2209,1.672097858,78.58859932,1.226799457,1620.718541,34.4833732,1.312811227,1734.348254,36.90102668,0.588501584,777.4664586,16.54183954
48,2890,3120,2640,2304,1.681241237,80.69957939,1.254340278,1718.968067,35.81183473,1.354166667,1855.771754,38.66191154,1.145833333,1570.268407,32.71392515
49,3060,3120,1210,2401,1.69019608,82.81960792,1.274468971,1810.440834,36.94777211,1.299458559,1845.939673,37.67223823,0.503956685,715.8932708,14.61006675
50,3190,3140,1340,2500,1.698970004,84.94850022,1.276,1877.608193,37.55216386,1.256,1848.178598,36.96357195,0.536,788.7131595,15.77426319
51,3340,3300,1360,2601,1.707570176,87.08607898,1.284121492,1955.995746,38.35285776,1.268742791,1932.570647,37.8935421,0.522875817,796.4533575,15.6167325
52,3460,3430,1420,2704,1.716003344,89.23217387,1.279585799,2016.313088,38.77525168,1.268491124,1998.830604,38.43905008,0.525147929,827.5042151,15.9135426
53,3710,5040,1500,2809,1.72427587,91.38662109,1.320754717,2151.62786,40.59675208,1.794232823,2922.96615,55.15030472,0.533997864,869.9304018,16.41378117
54,3780,3770,1540,2916,1.73239376,93.54926303,1.296296296,2181.951983,40.40651821,1.292866941,2176.179623,40.29962266,0.528120713,888.9434006,16.46191483
55,3970,4000,1520,3025,1.740362689,95.71994792,1.312396694,2281.133711,41.47515838,1.32231405,2298.371497,41.78857267,0.502479339,873.3811689,15.87965762
