Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
7700,5276400,100,371650,407,792100,1000,4134950,0,1106200,0,1098350,0
7800,5331050,100,375900,407,789150,1000,4089750,0,1065550,0,1098200,0
7900,5390500,100,366850,407,804450,1000,4512250,0,1177950,0,1089200,0
8000,5503450,100,373800,407,982800,1000,5270200,0,1087150,0,1158200,0
8100,5793200,100,374800,407,842400,1000,4330700,0,1348300,0,1128550,0
8200,6097200,100,372650,407,861000,1000,4507850,0,1071750,0,1167100,0
8300,5912400,100,386050,407,843400,1000,4611650,0,1079150,0,1118300,0
8400,6998800,100,385100,407,847300,1000,4191050,0,1185800,0,1182750,0
8500,6191750,100,385200,407,894850,1000,4658550,0,1124650,0,1143750,0
8600,6573600,100,394850,409,892400,1000,4650450,0,1174450,0,1130950,0
8700,6614050,100,377800,434,885500,1000,5910550,0,1538250,0,1194500,0
8800,6912800,100,377950,467,886200,1000,4960450,0,1225750,0,1146200,0
8900,6883050,100,397500,492,895450,1000,4998950,0,1139950,0,1187950,0
9000,7010750,100,411950,517,909400,1000,5191850,0,1111000,0,2498250,0
9100,7200950,100,426850,542,914450,1000,5122650,0,1189650,0,1250250,0
9200,7569000,100,410900,567,952550,1000,5199100,0,1171400,0,1193400,0
9300,7678850,100,408000,592,959000,1000,5424750,0,1099950,0,1195750,0
9400,7300700,100,402950,595,974200,1000,5202950,0,1211150,0,1262800,0
9500,7879150,100,417750,595,964200,1000,5373750,0,1062700,0,1200100,0
9600,7877500,100,429300,595,1016700,1000,5585250,0,1173950,0,1206900,0
9700,8362850,100,437950,595,975950,1000,5758250,0,1182200,0,1241350,0
9800,8392850,100,422600,595,1001400,1000,5655800,0,1288550,0,1200100,0
9900,8325750,100,427800,595,1022350,1000,5812450,0,1164900,0,1255400,0
