peek() time (ns);add() Best Case time (ns);add() Worst Case time (ns);extractMax() Best Case time (ns);extractMax() Worst Case time (ns)
0;213100;1001049;136600;54849
99;208899;1011500;105950;43200
0;210000;1003649;152650;54600
-1;206300;1035750;110050;54850
100;208749;1001850;136150;47350
50;210950;1010450;207900;46149
0;211749;1025700;165500;62200
150;213300;1064800;148849;61450
100;209850;992300;111751;55150
0;211050;1027200;156651;52650
0;216349;1010949;205600;59150
-50;211450;1048600;269550;60350
50;222051;1035050;124450;53750
50;210000;1003650;170051;36950
0;231550;1137650;130199;56050
50;231350;1194349;139899;58500
100;231350;1166499;80200;45600
-1;231601;1128300;308649;60999
49;209950;995750;133850;58150
0;209050;1076050;124449;48699
-1;216850;999250;97901;81400
50;208050;1009449;185900;52901
0;234150;1010900;140250;61250
50;213300;1054900;140649;56099
49;214399;1004149;530500;52250
50;211050;1008150;191750;62200
100;210149;1020750;202950;54000
99;214500;1088800;145050;57500
-50;214900;999199;87700;51100
50;215700;1022700;201951;51999
50;206400;1017499;172450;56750
49;210700;1063250;132300;58049
-1;217300;997450;-858000;57250
150;206850;1001100;177900;50350
49;212650;1023649;197100;52549
0;226350;1066150;186550;53600
100;214699;1015900;116600;57449
50;208750;997950;136700;51350
100;208649;1008951;153149;73300
50;211749;1052450;158750;46700
50;213050;1005900;87750;51650
0;208499;999300;209050;46949
99;208300;988750;143950;57549
-1;212300;1038349;178850;51750
